date,cera20c,ncep,cera20c_spread,ncep_spread,wegener,station
1930-01-01,-22.299239910659576,-22.841235678855657,3.8870564721760776,3.8870564721760776,,AT_Qameruj
1930-01-02,-25.428320126946584,-26.4868218003589,2.937962740443066,2.937962740443066,,AT_Qameruj
1930-01-03,-26.032297730894907,-23.65662210661249,3.760430050710706,3.760430050710706,,AT_Qameruj
1930-01-04,-23.36719726434604,-21.289847641051026,6.736110129788249,6.736110129788249,,AT_Qameruj
1930-01-05,-21.403432301799015,-16.595539898246024,6.920779326110514,6.920779326110514,,AT_Qameruj
1930-01-06,-17.350364258730718,-15.039634288704363,4.029688052153763,4.029688052153763,,AT_Qameruj
1930-01-07,-15.95330055921761,-18.046815533090182,2.2259026963696225,2.2259026963696225,,AT_Qameruj
1930-01-08,-19.324589312470987,-21.355558459474757,2.892738101732422,2.892738101732422,,AT_Qameruj
1930-01-09,-19.98583394436214,-22.414328881571198,3.4746438053734905,3.4746438053734905,,AT_Qameruj
1930-01-10,-22.140023398567717,-19.043387392521836,4.308210115044969,4.308210115044969,,AT_Qameruj
1930-01-11,-26.09687806649243,-20.109355350500838,3.8903525859968457,3.8903525859968457,,AT_Qameruj
1930-01-12,-28.423962268165592,-21.216622393773612,3.0979873311156925,3.0979873311156925,,AT_Qameruj
1930-01-13,-31.212170968947333,-21.021075992340975,2.797635374693309,2.797635374693309,,AT_Qameruj
1930-01-14,-26.706369965002693,-19.573963191360775,2.4818395550547097,2.4818395550547097,,AT_Qameruj
1930-01-15,-24.342273293209818,-18.61023490593414,3.7913226144351215,3.7913226144351215,,AT_Qameruj
1930-01-16,-26.264011095889913,-18.398805839896323,3.909540863484669,3.909540863484669,,AT_Qameruj
1930-01-17,-26.1924628715189,-14.372072348461202,3.5532664028279757,3.5532664028279757,,AT_Qameruj
1930-01-18,-28.001396570818798,-17.294294201003563,4.275308826249292,4.275308826249292,,AT_Qameruj
1930-01-19,-26.895871598904534,-21.858101410824844,4.953456551812154,4.953456551812154,,AT_Qameruj
1930-01-20,-28.877826523411052,-20.69395736191134,3.411840497534833,3.411840497534833,,AT_Qameruj
1930-01-21,-29.57637356249312,-11.709804305873217,4.149473339158203,4.149473339158203,,AT_Qameruj
1930-01-22,-28.06310471686902,-10.073211584347327,4.085632484867739,4.085632484867739,,AT_Qameruj
1930-01-23,-27.052120949886888,-9.736694191527796,4.458243524890645,4.458243524890645,,AT_Qameruj
1930-01-24,-25.34992886238394,-10.013008547623457,4.242857913382915,4.242857913382915,,AT_Qameruj
1930-01-25,-24.97782704439127,-6.098028384039213,2.6751951570009025,2.6751951570009025,,AT_Qameruj
1930-01-26,-25.56796737579672,-5.991080326019209,1.1790515149090985,1.1790515149090985,,AT_Qameruj
1930-01-27,-26.756800982854013,-9.590637445369165,2.1832162371231387,2.1832162371231387,,AT_Qameruj
1930-01-28,-22.768606030513563,-10.522362997039753,2.9350400293114216,2.9350400293114216,,AT_Qameruj
1930-01-29,-23.256341739702243,-10.911245505350632,2.339175695604515,2.339175695604515,,AT_Qameruj
1930-01-30,-24.900053276618653,-9.578055313092797,3.69322826610712,3.69322826610712,,AT_Qameruj
1930-01-31,-26.27195072336267,-10.637497138555531,3.6598253301276107,3.6598253301276107,,AT_Qameruj
1930-02-01,-24.097907373650724,-8.906626685624712,3.393113188286807,3.393113188286807,,AT_Qameruj
1930-02-02,-22.924972719425703,-4.471870158725934,3.37021667374105,3.37021667374105,,AT_Qameruj
1930-02-03,-22.73690203496248,-5.419887971013051,2.888853232335552,2.888853232335552,,AT_Qameruj
1930-02-04,-20.789966341227135,-7.12779540426403,1.9350565309434855,1.9350565309434855,,AT_Qameruj
1930-02-05,-20.285388922482113,-5.110251440983876,2.178076251184794,2.178076251184794,,AT_Qameruj
1930-02-06,-14.563009315027198,-4.63493415823871,3.2271585666443734,3.2271585666443734,,AT_Qameruj
1930-02-07,-10.547575492691115,-0.1791840291866249,3.183273826499915,3.183273826499915,,AT_Qameruj
1930-02-08,-8.368795757895379,1.029569761499042,1.205351220002355,1.205351220002355,,AT_Qameruj
1930-02-09,-15.056976988870565,-8.922085292401313,3.6463317073339305,3.6463317073339305,,AT_Qameruj
1930-02-10,-15.931646158893415,-5.045520552443549,1.612849943119967,1.612849943119967,,AT_Qameruj
1930-02-11,-12.858653134451083,-14.217644041314152,2.5831105669707513,2.5831105669707513,,AT_Qameruj
1930-02-12,-15.226899295566616,-19.1664380376173,2.721816069023497,2.721816069023497,,AT_Qameruj
1930-02-13,-16.89586688418525,-20.78464994788006,1.8553942394998624,1.8553942394998624,,AT_Qameruj
1930-02-14,-12.424136027428213,-11.924977725336227,2.0623346539837226,2.0623346539837226,,AT_Qameruj
1930-02-15,-9.125851710248805,-7.610407943530704,2.0492838840762797,2.0492838840762797,,AT_Qameruj
1930-02-16,-8.326910242826198,-13.15675882877089,3.8876234987432046,3.8876234987432046,,AT_Qameruj
1930-02-17,-16.40601642415507,-24.242700869633342,2.455987753686075,2.455987753686075,,AT_Qameruj
1930-02-18,-14.555766781097706,-23.72460036562817,2.217724962605236,2.217724962605236,,AT_Qameruj
1930-02-19,-18.19812082361172,-28.978896795509943,2.4634420639411196,2.4634420639411196,,AT_Qameruj
1930-02-20,-21.261810466158998,-30.186243030207404,1.9463194938326136,1.9463194938326136,,AT_Qameruj
1930-02-21,-23.297463191989863,-30.499148137418562,3.029535922432387,3.029535922432387,,AT_Qameruj
1930-02-22,-23.922177152323904,-27.132821802078443,3.0902200354108227,3.0902200354108227,,AT_Qameruj
1930-02-23,-23.014973886309654,-19.321658432987423,3.351305729226167,3.351305729226167,,AT_Qameruj
1930-02-24,-22.83852074130902,-17.13948989839874,5.328132236257491,5.328132236257491,,AT_Qameruj
1930-02-25,-23.001144093655185,-17.883685835955283,5.599291798005263,5.599291798005263,,AT_Qameruj
1930-02-26,-24.610931743617236,-17.260137086797673,5.20454572392484,5.20454572392484,,AT_Qameruj
1930-02-27,-26.536947187200106,-16.98037591306132,5.274185535168966,5.274185535168966,,AT_Qameruj
1930-02-28,-17.779588829412077,-10.492439141141308,5.444675199122057,5.444675199122057,,AT_Qameruj
1930-03-01,-9.908488960802154,-16.00909973876656,2.565184620869172,2.565184620869172,,AT_Qameruj
1930-03-02,-13.82112842111064,-21.90314760236699,2.3384500142866083,2.3384500142866083,,AT_Qameruj
1930-03-03,-17.136901025595705,-14.698089590353867,1.8866818224994815,1.8866818224994815,,AT_Qameruj
1930-03-04,-16.862722555626476,-0.40714781684926393,2.72037850715286,2.72037850715286,,AT_Qameruj
1930-03-05,-10.078119062073373,0.00926765840379229,1.4429490631675632,1.4429490631675632,,AT_Qameruj
1930-03-06,-11.267514750508173,-14.398281932741725,1.95438381064557,1.95438381064557,,AT_Qameruj
1930-03-07,-14.913311576952745,-19.143888189018917,1.4450000602189828,1.4450000602189828,,AT_Qameruj
1930-03-08,-16.759898331052206,-18.99578943902921,1.719077672631551,1.719077672631551,,AT_Qameruj
1930-03-09,-17.513191837726925,-18.268638449450794,1.2142472173080712,1.2142472173080712,,AT_Qameruj
1930-03-10,-19.10191056982679,-19.823697930903027,1.9706584908420037,1.9706584908420037,,AT_Qameruj
