# Mass balance measurements for ST270 (location at 270 m a.s.l. at the Kamarujuk glacier) from volume 1 (p159 onwards)
# date: date of ascent [YYYY-MM-DD]
# digit_stake length: length of the mass balance stake submerged in the glacier [m]
# z: altitude above sea level [m]
# diff: change of length from the privous measurement [m]
# cum_deltaz: change of length since the first measurement [m]
# comment: additional info
date;digit_stake length;z;diff;cum_deltaz;comment
1929-08-08;4.79;270.0;0.0;0;
1929-08-13;4.59;270.0;-0.2;-0.2;
1929-09-09;4.33;270.0;-0.26;-0.46;
1930-05-30;3.74;270.0;-0.59;-1.05;
1930-07-06;3.7;270.0;-0.04;-1.09;
1930-12-06;3.68;270.0;-0.02;-1.11;
1930-06-14;3.67;270.0;-0.01;-1.12;
1930-06-23;3.36;270.0;-0.31;-1.43;
1930-06-24;3.33;270.0;-0.03;-1.46;
1930-06-26;3.32;270.0;-0.01;-1.47;
1930-06-30;3.13;270.0;-0.19;-1.66;
1930-05-07;3.07;270.0;-0.06;-1.72;
1930-09-07;2.87;270.0;-0.2;-1.92;
1930-07-13;2.77;270.0;-0.1;-2.02;
1930-07-18;2.42;270.0;-0.35;-2.37;
1930-07-24;1.99;270.0;-0.43;-2.8;
1930-07-30;1.7;270.0;-0.29;-3.09;
1930-04-08;1.39;270.0;-0.31;-3.4;
1930-07-08;1.27;270.0;-0.12;-3.52;
1930-08-14;1.05;270.0;-0.22;-3.74;
1930-08-19;1.0;270.0;-0.05;-3.79;
1930-08-19;3.3;270.0;-3.79;new;
1930-08-25;3.24;270.0;-0.06;-3.85;
1930-08-28;3.16;270.0;-0.08;-3.93;
1930-08-09;2.77;270.0;-0.39;-4.32;
1930-12-09;2.61;270.0;-0.16;-4.48;
1931-06-30;2.3;270.0;-0.31;-4.79;
1931-07-27;0.68;270.0;-1.62;-6.41;
1931-02-08;0.43;270.0;-0.25;-6.66;
1931-07-08;0.22;270.0;-0.21;-6.87;
1931-08-13;0.0;;-0.22;-7.09;
1931-08-24;0.53;270.0;-0.25;-7.34;new,edited according to fig p 167
1931-08-28;0.44;270.0;-0.09;-7.43;
1931-08-31;0.39;270.0;-0.05;-7.48;
1931-02-09;0.3;270.0;-0.09;-7.57;
1931-10-09;270.0;-0.3;-7.87;;
1931-12-09;0.5;270.0;-0.01;-7.88;new
1931-09-15;0.49;270.0;-0.01;-7.89;
1931-09-25;0.49;270.0;0.0;-7.89;
1931-04-10;0.47;270.0;-0.02;-7.91;
