# Mass balance measurements for RA025 (location 25km from the ice margin) from volume 1 (p155 onwards)
# date: date of ascent [YYYY-MM-DD]
# distance to margin: distance to margin [km]
# stake height: height of the mass balance stake [m]
# change: change of height from the privous measurement [m]
# change since beginning: change since the first measurement [m]
# comment: additional info
date;distance to margin;stake height;change;change since beginning;comment
1930-07-08;25;1.34;0.0;0.0;new stake
1930-08-25;25;1.33;0.01;0.01;
1930-09-22;25;1.34;-0.01;0.0;
1931-11-04;25;0.72;0.62;0.62;
1931-04-24;25;0.46;0.26;0.88;
1931-04-24;25;1.35;0.0;0.88;new stake
1931-05-31;25;1.29;0.06;0.94;
1931-06-22;25;1.42;-0.13;0.81;
1931-03-07;25;1.38;0.04;0.85;
1931-07-25;25;1.68;-0.3;0.55;
1931-07-26;25;1.48;0.0;0.55;new stake
1931-07-29;25;1.52;-0.04;0.51;
1931-08-13;25;1.73;-0.21;0.3;
1931-09-16;25;1.45;0.28;0.58;
